comparison_place,size_class,municipality_key,population,start,end,duration_days,max_temp,avg_temp,year
Boville,small,058121,18818,2012-08-05,2012-08-07,3,35.6,34.6,2012
Boville,small,058121,18818,2012-08-20,2012-08-22,3,34.1,33.6,2012
Boville,small,058121,18818,2013-08-03,2013-08-07,5,36.1,34.9,2013
Boville,small,058121,18818,2014-06-06,2014-06-12,7,31.4,30.3,2014
Boville,small,058121,18818,2015-06-04,2015-06-06,3,29.6,29.2,2015
Boville,small,058121,18818,2015-07-15,2015-07-17,3,34.6,34.3,2015
Boville,small,058121,18818,2015-07-19,2015-07-21,3,34.3,34.2,2015
Boville,small,058121,18818,2015-08-04,2015-08-07,4,34.6,34.1,2015
Boville,small,058121,18818,2016-06-22,2016-06-24,3,32.2,31.9,2016
Boville,small,058121,18818,2017-07-05,2017-07-08,4,33.6,33.5,2017
Boville,small,058121,18818,2017-07-30,2017-08-09,11,37.6,35.9,2017
Boville,small,058121,18818,2017-08-15,2017-08-17,3,33.2,33.2,2017
Boville,small,058121,18818,2017-08-26,2017-08-28,3,34.0,33.5,2017
Boville,small,058121,18818,2019-06-23,2019-07-02,10,35.2,32.8,2019
Boville,small,058121,18818,2019-08-09,2019-08-12,4,35.6,34.4,2019
Boville,small,058121,18818,2020-07-28,2020-07-31,4,36.5,35.3,2020
Boville,small,058121,18818,2020-08-08,2020-08-10,3,33.8,33.6,2020
Boville,small,058121,18818,2020-09-12,2020-09-17,6,31.8,30.7,2020
Boville,small,058121,18818,2021-06-19,2021-06-22,4,32.3,31.7,2021
Boville,small,058121,18818,2021-08-09,2021-08-15,7,36.1,34.9,2021
Boville,small,058121,18818,2022-05-24,2022-05-27,4,33.2,30.8,2022
Boville,small,058121,18818,2022-05-31,2022-06-06,7,34.1,31.8,2022
Boville,small,058121,18818,2022-06-15,2022-06-17,3,31.4,30.9,2022
Boville,small,058121,18818,2022-06-20,2022-06-22,3,32.4,31.5,2022
Boville,small,058121,18818,2022-06-25,2022-07-05,11,37.1,34.6,2022
Boville,small,058121,18818,2022-07-20,2022-07-24,5,34.8,34.6,2022
Boville,small,058121,18818,2023-07-07,2023-07-10,4,35.2,34.2,2023
Boville,small,058121,18818,2023-07-15,2023-07-19,5,38.5,36.1,2023
Boville,small,058121,18818,2023-07-22,2023-07-24,3,35.7,34.5,2023
Boville,small,058121,18818,2023-08-17,2023-08-26,10,36.6,35.0,2023
Boville,small,058121,18818,2024-06-06,2024-06-08,3,31.1,30.2,2024
Boville,small,058121,18818,2024-06-17,2024-06-20,4,37.6,34.8,2024
Boville,small,058121,18818,2024-07-08,2024-07-18,11,36.9,35.0,2024
Boville,small,058121,18818,2024-07-26,2024-08-01,7,36.8,35.0,2024
Boville,small,058121,18818,2024-08-09,2024-08-15,7,35.3,34.4,2024
Boville,small,058121,18818,2024-08-27,2024-09-01,6,33.2,32.4,2024
Boville,small,058121,18818,2025-06-06,2025-06-15,10,35.3,32.4,2025
Boville,small,058121,18818,2025-06-22,2025-07-05,14,37.6,34.4,2025
Boville,small,058121,18818,2025-08-07,2025-08-15,9,36.8,35.2,2025
Colonna,rural,058035,4240,1982-06-23,1982-06-25,3,33.2,31.9,1982
Colonna,rural,058035,4240,1982-09-02,1982-09-04,3,31.6,31.4,1982
Colonna,rural,058035,4240,1983-07-18,1983-07-20,3,34.6,34.1,1983
Colonna,rural,058035,4240,1983-07-25,1983-07-28,4,36.0,35.1,1983
Colonna,rural,058035,4240,1987-09-13,1987-09-18,6,32.3,31.4,1987
Colonna,rural,058035,4240,1988-07-04,1988-07-07,4,33.6,32.9,1988
Colonna,rural,058035,4240,1998-06-02,1998-06-05,4,30.4,29.7,1998
Colonna,rural,058035,4240,1998-06-29,1998-07-01,3,33.7,32.3,1998
Colonna,rural,058035,4240,2000-08-19,2000-08-26,8,35.1,33.4,2000
Colonna,rural,058035,4240,2002-06-16,2002-06-24,9,32.4,30.8,2002
Colonna,rural,058035,4240,2003-06-08,2003-06-15,8,32.1,31.0,2003
Colonna,rural,058035,4240,2003-06-23,2003-06-25,3,31.7,31.7,2003
Colonna,rural,058035,4240,2003-08-04,2003-08-06,3,35.2,34.9,2003
Colonna,rural,058035,4240,2003-08-08,2003-08-12,5,34.3,33.8,2003
Colonna,rural,058035,4240,2003-08-16,2003-08-20,5,34.1,33.5,2003
Colonna,rural,058035,4240,2005-06-25,2005-06-28,4,32.8,32.1,2005
Colonna,rural,058035,4240,2005-07-27,2005-07-29,3,36.4,34.7,2005
Colonna,rural,058035,4240,2006-06-18,2006-06-28,11,33.1,31.7,2006
Colonna,rural,058035,4240,2007-08-23,2007-08-25,3,36.5,35.4,2007
Colonna,rural,058035,4240,2008-09-08,2008-09-11,4,32.8,31.8,2008
Colonna,rural,058035,4240,2009-05-22,2009-05-25,4,30.1,29.2,2009
Colonna,rural,058035,4240,2009-08-17,2009-08-21,5,33.8,33.3,2009
Colonna,rural,058035,4240,2011-08-19,2011-08-25,7,34.4,34.1,2011
Colonna,rural,058035,4240,2011-09-14,2011-09-16,3,31.4,30.7,2011
Colonna,rural,058035,4240,2012-06-16,2012-06-19,4,32.3,31.2,2012
Colonna,rural,058035,4240,2012-06-21,2012-06-23,3,31.6,31.2,2012
Colonna,rural,058035,4240,2012-06-29,2012-07-01,3,33.2,32.3,2012
Colonna,rural,058035,4240,2012-08-05,2012-08-07,3,35.3,34.2,2012
Colonna,rural,058035,4240,2012-08-20,2012-08-22,3,33.7,33.4,2012
Colonna,rural,058035,4240,2013-08-03,2013-08-07,5,35.3,34.6,2013
Colonna,rural,058035,4240,2014-06-06,2014-06-11,6,30.4,29.6,2014
Colonna,rural,058035,4240,2015-07-19,2015-07-21,3,33.9,33.8,2015
Colonna,rural,058035,4240,2015-08-04,2015-08-07,4,34.0,33.6,2015
Colonna,rural,058035,4240,2016-06-22,2016-06-24,3,31.6,31.3,2016
Colonna,rural,058035,4240,2017-07-05,2017-07-08,4,33.2,32.8,2017
Colonna,rural,058035,4240,2017-07-30,2017-08-08,10,37.9,35.7,2017
Colonna,rural,058035,4240,2017-08-25,2017-08-28,4,33.8,32.9,2017
Colonna,rural,058035,4240,2019-06-12,2019-06-14,3,33.5,30.9,2019
Colonna,rural,058035,4240,2019-06-23,2019-07-05,13,33.6,32.1,2019
Colonna,rural,058035,4240,2019-08-09,2019-08-12,4,35.8,34.3,2019
Colonna,rural,058035,4240,2020-07-28,2020-07-31,4,36.4,35.2,2020
Colonna,rural,058035,4240,2020-08-20,2020-08-22,3,33.7,33.3,2020
Colonna,rural,058035,4240,2020-09-12,2020-09-15,4,31.4,30.4,2020
Colonna,rural,058035,4240,2021-06-19,2021-06-23,5,32.2,31.4,2021
Colonna,rural,058035,4240,2021-08-09,2021-08-14,6,35.8,34.8,2021
Colonna,rural,058035,4240,2022-05-25,2022-05-27,3,31.2,30.2,2022
Colonna,rural,058035,4240,2022-05-31,2022-06-06,7,32.6,31.2,2022
Colonna,rural,058035,4240,2022-06-15,2022-06-17,3,31.2,30.7,2022
Colonna,rural,058035,4240,2022-06-20,2022-06-22,3,32.0,31.1,2022
