city,population,lat,lon,bundesland
Töging am Inn,9560,48.254722222,12.586666666,Bayern
Münchberg,10200,50.183111111,11.785694444,Bayern
Rieneck,1941,50.1,9.633333333,Bayern
Ochsenfurt,11434,49.67115,10.04985,Bayern
Wasserburg am Inn,13112,48.060833333,12.233333333,Bayern
Viechtach,8544,49.079166666,12.884722222,Bayern
Q248062,9063,49.106388888,11.439444444,Bayern
Zwiesel,8978,49.016666666,13.233333333,Bayern
Oberasbach,17807,49.421944444,10.958333333,Bayern
Ingolstadt,142308,48.763055555,11.425,Bayern
Waldershof,4233,49.983305555,12.066694444,Bayern
Selbitz,4274,50.316666666,11.75,Bayern
Betzenstein,2515,49.680277777,11.417777777,Bayern
Marktheidenfeld,11724,49.85,9.6,Bayern
Waldkirchen,11221,48.730555555,13.601111111,Bayern
Simbach am Inn,10521,48.265555555,13.023055555,Bayern
Traunreut,21021,47.966666666,12.583333333,Bayern
Ebermannstadt,7041,49.7806,11.184811111,Bayern
Maxhütte-Haidhof,12278,49.2,12.1,Bayern
Marktredwitz,17254,50.0,12.066666666,Bayern
Egloffstein,2103,49.7,11.25,Bayern
Bad Staffelstein,10651,50.099,10.9962,Bayern
Bad Windsheim,12766,49.5,10.416666666,Bayern
Tegernsee,3967,47.708611111,11.756944444,Bayern
Hauzenberg,11775,48.651666666,13.623611111,Bayern
Geretsried,25863,47.866666666,11.466666666,Bayern
Puchheim,21410,48.15,11.35,Bayern
Abensberg,14685,48.81672,11.85013,Bayern
Oberpleiskirchen,605,48.32019,12.58925,Bayern
Marktleuthen,2878,50.116666666,12.0,Bayern
Scheinfeld,4945,49.66435,10.4611,Bayern
Unterschleißheim,31009,48.283333333,11.566666666,Bayern
Treuchtlingen,13181,48.955277777,10.909444444,Bayern
Friedberg,30670,48.35,10.983333333,Bayern
Immenstadt im Allgäu,14622,47.566666666,10.216666666,Bayern
Bobingen,18022,48.266666666,10.816666666,Bayern
Dietfurt,6257,49.033333333,11.583333333,Bayern
Kolbermoor,19414,47.85,12.066666666,Bayern
Scheßlitz,7344,49.976666666,11.033888888,Bayern
Königsbrunn,28377,48.268888888,10.890833333,Bayern
Rothenburg ob der Tauber,11385,49.377222222,10.178888888,Bayern
Nürnberg,529508,49.453888888,11.0775,Bayern
Neumarkt-Sankt Veit,6543,48.366666666,12.5,Bayern
Krumbach,13940,48.243055555,10.363333333,Bayern
Olching,28052,48.2,11.316666666,Bayern
Hofheim in Unterfranken,5203,50.133333333,10.516666666,Bayern
Selb,14727,50.166666666,12.133333333,Bayern
Zeil am Main,5631,50.016666666,10.6,Bayern
Ludwigsstadt,3315,50.485833333,11.3875,Bayern
Oberviechtach,4985,49.466666666,12.416666666,Bayern
Hiltpoltstein,1517,49.66,11.320833333,Bayern
Eggenfelden,14439,48.403888888,12.764166666,Bayern
Bad Griesbach im Rottal,9279,48.45,13.2,Bayern
Volkach,8789,49.864111111,10.226888888,Bayern
Pottenstein,5225,49.772222222,11.411388888,Bayern
Abenberg,5614,49.240555555,10.961944444,Bayern
Kupferberg,1070,50.139166666,11.5775,Bayern
Baiersdorf,8074,49.656388888,11.032777777,Bayern
Vohburg an der Donau,8918,48.766666666,11.616666666,Bayern
Schrobenhausen,18199,48.56685,11.25825,Bayern
Merkendorf,3083,49.2,10.683333333,Bayern
Hirschberg,471,48.91829,12.95994,Bayern
Gemünden am Main,10012,50.049722222,9.705555555,Bayern
Velburg,5553,49.232777777,11.671944444,Bayern
Vöhringen,14134,48.283333333,10.083333333,Bayern
Eggolsheim,6639,49.770833333,11.058055555,Bayern
Hohenberg an der Eger,1438,50.1,12.216666666,Bayern
Baunach,4065,49.9885,10.8485,Bayern
Dettelbach,7228,49.8017,10.1618,Bayern
Q170243,8616,48.701944444,12.027222222,Bayern
Igensdorf,5153,49.621666666,11.231944444,Bayern
Teublitz,7938,49.220833333,12.085277777,Bayern
Grafenwöhr,6710,49.716666666,11.9,Bayern
Kirchenlamitz,3144,50.15,11.95,Bayern
Laufen,7541,47.933333333,12.933333333,Bayern
Erbendorf,5088,49.833333333,12.05,Bayern
Waldsassen,6666,50.0,12.3,Bayern
Lindau,26155,47.545833333,9.683888888,Bayern
Rötz,3328,49.341944444,12.527777777,Bayern
Lohr am Main,15353,49.993611111,9.578333333,Bayern
Haar,23056,48.111388888,11.731111111,Bayern
Rehau,9366,50.2486,12.0354,Bayern
Schönwald,3165,50.2,12.083333333,Bayern
Höchstädt an der Donau,7073,48.611238888,10.568161111,Bayern
Tittmoning,5970,48.063055555,12.766944444,Bayern
Penzberg,16909,47.75,11.366666666,Bayern
Mitterteich,6644,49.949838888,12.244180555,Bayern
Ratzing,729,48.7212,13.6336,Bayern
Grafenau,8229,48.856111111,13.396944444,Bayern
Randling,520,48.32804,12.91787,Bayern
Gangerbauer,578,48.4029,12.8944,Bayern
Schalldorf,520,48.4407,12.8942,Bayern
Nöham,825,48.4859,12.8938,Bayern
Lengsham,473,48.4007,13.0183,Bayern
Reichenberg,879,48.4497,12.9457,Bayern
Schildthurn,443,48.3029,12.8702,Bayern
Voglarn,414,48.3935,13.0186,Bayern
Taubenbach,447,48.2768,12.9286,Bayern
Kirchberg am Inn,807,48.3027,13.0005,Bayern
Untergrasensee,687,48.4138,12.9644,Bayern
Gumpersdorf,604,48.2859,12.894,Bayern
Eggstetten,450,48.2921,12.9679,Bayern
